iter	Passed	Remaining
405	6620	12947
406	6637	12932
407	6653	12916
408	6671	12901
409	6685	12881
410	6701	12864
411	6716	12846
412	6731	12827
413	6747	12809
414	6760	12788
415	6777	12772
416	6794	12757
417	6811	12743
418	6828	12728
419	6845	12712
420	6859	12693
421	6877	12680
422	6894	12664
423	6911	12648
424	6927	12632
425	6945	12619
426	6962	12604
427	6979	12589
428	6995	12572
429	7011	12556
430	7028	12540
431	7042	12520
432	7057	12500
433	7073	12484
434	7088	12465
435	7101	12444
436	7115	12422
437	7129	12402
438	7145	12387
439	7159	12367
440	7175	12349
441	7193	12336
442	7207	12316
443	7223	12299
444	7240	12283
445	7254	12264
446	7270	12248
447	7284	12228
448	7299	12209
449	7316	12194
450	7335	12182
451	7349	12162
452	7365	12146
453	7384	12133
454	7402	12121
455	7422	12109
456	7441	12099
457	7459	12085
458	7476	12070
459	7491	12052
460	7505	12032
461	7520	12012
462	7535	11995
463	7549	11974
464	7568	11963
465	7582	11942
466	7595	11921
467	7611	11904
468	7628	11890
469	7644	11873
470	7661	11858
471	7677	11842
472	7692	11823
473	7706	11803
474	7719	11783
475	7733	11762
476	7747	11743
477	7761	11722
478	7776	11704
479	7792	11688
480	7807	11670
481	7821	11650
482	7836	11632
483	7853	11617
484	7869	11601
485	7887	11587
486	7905	11573
487	7920	11556
488	7937	11541
489	7951	11521
490	7970	11508
491	7985	11491
492	8002	11476
493	8019	11461
494	8036	11445
495	8051	11428
496	8068	11412
497	8084	11396
498	8101	11380
499	8118	11365
500	8133	11348
501	8151	11333
502	8166	11315
503	8181	11298
504	8197	11281
505	8213	11265
506	8228	11246
507	8241	11226
508	8254	11206
509	8269	11188
510	8286	11173
511	8302	11156
512	8316	11137
513	8332	11120
514	8348	11103
515	8364	11087
516	8380	11071
517	8395	11053
518	8412	11038
519	8429	11023
520	8445	11006
521	8462	10990
522	8479	10976
523	8497	10962
524	8514	10946
525	8530	10930
526	8546	10914
527	8565	10901
528	8580	10884
529	8597	10868
530	8611	10849
531	8626	10831
532	8639	10811
533	8654	10793
534	8670	10777
535	8687	10762
536	8705	10747
537	8720	10730
538	8737	10714
539	8750	10694
540	8767	10679
541	8786	10666
542	8801	10649
543	8815	10629
544	8829	10611
545	8843	10592
546	8860	10577
547	8879	10564
548	8895	10548
549	8913	10533
550	8927	10515
551	8941	10496
552	8957	10480
553	8973	10463
554	8991	10449
555	9008	10434
556	9023	10416
557	9040	10401
558	9056	10385
559	9073	10370
560	9090	10354
561	9106	10337
562	9123	10322
563	9136	10303
564	9149	10283
565	9166	10268
566	9184	10254
567	9201	10238
568	9218	10222
569	9235	10207
570	9249	10188
571	9263	10170
572	9279	10153
573	9296	10138
574	9313	10123
575	9327	10105
576	9344	10089
577	9360	10073
578	9376	10056
579	9393	10041
580	9408	10023
581	9425	10008
582	9443	9994
583	9458	9977
584	9474	9960
585	9490	9943
586	9506	9927
587	9524	9913
588	9541	9897
589	9557	9881
590	9574	9865
591	9592	9851
592	9609	9836
593	9624	9818
594	9637	9799
595	9653	9782
596	9672	9769
597	9686	9751
598	9703	9736
599	9720	9720
600	9736	9703
601	9753	9688
602	9771	9674
603	9792	9662
604	9810	9648
605	9825	9631
606	9843	9616
607	9858	9598
608	9872	9580
609	9885	9561
610	9904	9547
611	9920	9531
612	9935	9514
613	9952	9498
614	9970	9483
615	9986	9467
616	10002	9451
617	10019	9436
618	10035	9419
619	10053	9404
620	10069	9388
621	10086	9372
622	10100	9354
623	10115	9337
624	10131	9320
625	10148	9305
626	10163	9288
627	10179	9271
628	10197	9256
629	10212	9239
630	10226	9221
631	10242	9205
632	10258	9188
633	10274	9172
634	10290	9155
635	10306	9139
636	10321	9122
637	10338	9107
638	10356	9091
639	10372	9075
640	10389	9060
641	10402	9041
642	10417	9024
643	10433	9007
644	10450	8992
645	10465	8974
646	10480	8957
647	10493	8938
648	10508	8921
649	10524	8904
650	10539	8888
651	10556	8872
652	10571	8855
653	10585	8837
654	10603	8822
655	10620	8807
656	10637	8791
657	10655	8776
658	10672	8761
659	10689	8746
660	10706	8730
661	10722	8713
662	10738	8697
663	10755	8682
664	10771	8665
665	10786	8648
666	10803	8633
667	10820	8617
668	10835	8600
669	10852	8584
670	10867	8567
671	10885	8552
672	10903	8537
673	10919	8521
674	10935	8505
675	10948	8487
676	10965	8470
677	10980	8453
678	10997	8438
679	11014	8423
680	11031	8407
681	11047	8390
682	11062	8374
683	11079	8358
684	11092	8339
685	11109	8323
686	11126	8308
687	11140	8290
688	11153	8272
689	11170	8256
690	11187	8240
691	11202	8224
692	11220	8208
693	11236	8192
694	11253	8176
695	11267	8158
696	11281	8141
697	11295	8123
698	11311	8107
699	11326	8090
700	11340	8072
701	11356	8056
702	11375	8041
703	11391	8026
704	11407	8009
705	11424	7993
706	11437	7975
707	11452	7958
708	11469	7942
709	11483	7925
710	11497	7907
711	11512	7890
712	11528	7874
713	11542	7856
714	11558	7840
715	11575	7824
716	11588	7806
717	11604	7790
718	11619	7773
719	11636	7757
720	11653	7741
721	11667	7724
722	11685	7709
723	11701	7692
724	11715	7675
725	11733	7660
726	11751	7645
727	11770	7631
728	11785	7614
729	11800	7597
730	11814	7580
731	11827	7562
732	11840	7543
733	11854	7525
734	11868	7508
735	11882	7491
736	11896	7473
737	11912	7457
738	11929	7441
739	11945	7425
740	11963	7410
741	11979	7394
742	11992	7376
743	12007	7359
744	12022	7342
745	12037	7326
746	12053	7309
747	12067	7292
748	12082	7275
749	12099	7259
750	12116	7243
751	12136	7229
752	12152	7214
753	12168	7197
754	12184	7181
755	12200	7165
756	12215	7148
757	12231	7132
758	12247	7116
759	12261	7098
760	12276	7082
761	12292	7065
762	12308	7049
763	12325	7033
764	12341	7017
765	12356	7001
766	12371	6984
767	12388	6968
768	12405	6952
769	12419	6935
770	12434	6918
771	12449	6902
772	12467	6886
773	12484	6871
774	12499	6854
775	12514	6837
776	12530	6821
777	12546	6805
778	12561	6788
779	12580	6774
780	12596	6757
781	12614	6742
782	12629	6726
783	12647	6710
784	12663	6694
785	12676	6677
786	12693	6661
787	12709	6644
788	12726	6629
789	12741	6612
790	12757	6596
791	12773	6580
792	12787	6563
793	12802	6546
794	12818	6530
795	12836	6514
796	12852	6498
797	12866	6481
798	12883	6465
799	12898	6449
800	12913	6432
801	12928	6415
802	12944	6399
803	12961	6384
804	12979	6368
805	12996	6352
806	13012	6336
807	13029	6321
808	13046	6305
809	13064	6290
810	13079	6273
811	13093	6256
812	13110	6240
813	13128	6225
814	13143	6208
815	13157	6191
816	13174	6176
817	13191	6160
818	13206	6143
819	13221	6127
820	13238	6111
821	13255	6095
822	13270	6078
823	13286	6062
824	13302	6046
825	13319	6031
826	13337	6015
827	13353	5999
828	13369	5983
829	13386	5967
830	13403	5951
831	13417	5934
832	13433	5918
833	13448	5901
834	13465	5886
835	13481	5870
836	13499	5854
837	13516	5838
838	13530	5821
839	13547	5805
840	13563	5789
841	13579	5773
842	13598	5758
843	13615	5743
844	13631	5726
845	13647	5710
846	13664	5694
847	13678	5677
848	13692	5660
849	13708	5644
850	13724	5628
851	13741	5612
852	13759	5597
853	13776	5581
854	13794	5566
855	13810	5550
856	13828	5534
857	13845	5518
858	13863	5503
859	13881	5488
860	13906	5475
861	13923	5459
862	13939	5443
863	13955	5427
864	13971	5410
865	13989	5395
866	14007	5379
867	14024	5364
868	14039	5347
869	14055	5331
870	14072	5315
871	14085	5298
872	14101	5281
873	14117	5265
874	14133	5249
875	14149	5233
876	14166	5217
877	14182	5201
878	14200	5185
879	14217	5169
880	14233	5153
881	14247	5136
882	14265	5121
883	14280	5104
884	14295	5088
885	14311	5072
886	14329	5056
887	14345	5040
888	14360	5023
889	14377	5007
890	14394	4992
891	14408	4975
892	14425	4959
893	14441	4943
894	14458	4927
895	14474	4910
896	14489	4894
897	14502	4877
898	14518	4861
899	14532	4844
900	14549	4828
901	14564	4811
902	14579	4795
903	14597	4779
904	14614	4763
905	14633	4748
906	14651	4733
907	14669	4717
908	14684	4701
909	14700	4684
910	14715	4668
911	14733	4652
912	14751	4636
913	14767	4621
914	14783	4604
915	14799	4588
916	14813	4571
917	14829	4555
918	14845	4539
919	14862	4523
920	14878	4507
921	14892	4490
922	14909	4474
923	14925	4458
924	14939	4441
925	14956	4425
926	14973	4409
927	14991	4394
928	15007	4377
929	15023	4361
930	15040	4345
931	15054	4329
932	15070	4312
933	15085	4296
934	15102	4280
935	15117	4263
936	15134	4247
937	15150	4231
938	15167	4215
939	15181	4199
940	15198	4183
941	15215	4167
942	15232	4151
943	15248	4135
944	15264	4118
945	15280	4102
946	15297	4086
947	15313	4070
948	15330	4054
949	15349	4039
950	15364	4022
951	15380	4006
952	15395	3990
953	15411	3974
954	15429	3958
955	15446	3942
956	15461	3925
957	15478	3909
958	15495	3894
959	15511	3877
960	15525	3861
961	15538	3844
962	15554	3827
963	15570	3811
964	15586	3795
965	15602	3779
966	15618	3763
967	15632	3746
968	15646	3730
969	15662	3713
970	15676	3697
971	15692	3681
972	15709	3664
973	15724	3648
974	15740	3632
975	15756	3616
976	15773	3600
977	15790	3584
978	15806	3568
979	15823	3552
980	15840	3536
981	15854	3519
982	15870	3503
983	15887	3487
984	15904	3471
985	15921	3455
986	15938	3439
987	15955	3423
988	15973	3407
989	15987	3391
990	16003	3375
991	16019	3358
992	16033	3342
993	16049	3326
994	16067	3310
995	16085	3294
996	16103	3278
997	16120	3262
998	16136	3246
999	16152	3230
1000	16169	3214
1001	16184	3198
1002	16202	3182
1003	16221	3166
1004	16237	3150
1005	16255	3134
1006	16272	3118
1007	16287	3102
1008	16302	3086
1009	16319	3070
1010	16336	3054
1011	16350	3037
1012	16366	3021
1013	16384	3005
1014	16400	2989
1015	16418	2973
1016	16434	2957
1017	16451	2941
1018	16468	2925
1019	16484	2908
1020	16500	2892
1021	16516	2876
1022	16533	2860
1023	16551	2844
1024	16566	2828
1025	16583	2812
1026	16598	2796
1027	16613	2779
1028	16627	2763
1029	16642	2746
1030	16659	2730
1031	16674	2714
1032	16691	2698
1033	16705	2681
1034	16722	2665
1035	16736	2649
1036	16753	2633
1037	16769	2617
1038	16786	2601
1039	16801	2584
1040	16816	2568
1041	16830	2552
1042	16846	2535
1043	16861	2519
1044	16876	2503
1045	16892	2486
1046	16907	2470
1047	16922	2454
1048	16939	2438
1049	16955	2422
1050	16969	2405
1051	16983	2389
1052	16999	2373
1053	17016	2357
1054	17029	2340
1055	17045	2324
1056	17061	2308
1057	17077	2292
1058	17092	2275
1059	17109	2259
1060	17123	2243
1061	17139	2227
1062	17155	2211
1063	17171	2194
1064	17188	2178
1065	17205	2162
1066	17222	2146
1067	17239	2130
1068	17252	2114
1069	17267	2097
1070	17284	2081
1071	17300	2065
1072	17315	2049
1073	17331	2033
1074	17347	2017
1075	17364	2001
1076	17378	1984
1077	17395	1968
1078	17412	1952
1079	17428	1936
1080	17443	1920
1081	17458	1903
1082	17474	1887
1083	17488	1871
1084	17504	1855
1085	17520	1839
1086	17537	1823
1087	17554	1807
1088	17570	1790
1089	17586	1774
1090	17601	1758
1091	17616	1742
1092	17632	1726
1093	17647	1709
1094	17662	1693
1095	17679	1677
1096	17693	1661
1097	17710	1645
1098	17725	1628
1099	17742	1612
1100	17755	1596
1101	17772	1580
1102	17790	1564
1103	17819	1549
1104	17841	1533
1105	17859	1517
1106	17876	1501
1107	17893	1485
1108	17909	1469
1109	17924	1453
1110	17941	1437
1111	17959	1421
1112	17976	1405
1113	17993	1389
1114	18010	1372
1115	18028	1356
1116	18045	1340
1117	18061	1324
1118	18076	1308
1119	18094	1292
1120	18112	1276
1121	18131	1260
1122	18147	1244
1123	18164	1228
1124	18179	1211
1125	18197	1195
1126	18212	1179
1127	18229	1163
1128	18246	1147
1129	18261	1131
1130	18278	1115
1131	18295	1099
1132	18312	1082
1133	18329	1066
1134	18345	1050
1135	18362	1034
1136	18378	1018
1137	18396	1002
1138	18412	986
1139	18428	969
1140	18444	953
1141	18461	937
1142	18477	921
1143	18494	905
1144	18511	889
1145	18527	873
1146	18543	856
1147	18559	840
1148	18575	824
1149	18591	808
1150	18607	792
1151	18624	776
1152	18640	759
1153	18657	743
1154	18673	727
1155	18688	711
1156	18704	695
1157	18720	678
1158	18737	662
1159	18752	646
1160	18768	630
1161	18782	614
1162	18796	597
1163	18811	581
1164	18827	565
1165	18845	549
1166	18862	533
1167	18879	517
1168	18894	501
1169	18908	484
1170	18924	468
1171	18940	452
1172	18954	436
1173	18972	420
1174	18988	404
1175	19005	387
1176	19021	371
1177	19038	355
1178	19053	339
1179	19070	323
1180	19085	307
1181	19101	290
1182	19117	274
1183	19135	258
1184	19151	242
1185	19168	226
1186	19186	210
1187	19202	193
1188	19217	177
1189	19233	161
1190	19249	145
1191	19265	129
1192	19282	113
1193	19299	96
1194	19315	80
1195	19332	64
1196	19346	48
1197	19362	32
1198	19377	16
1199	19392	0
